Ouverture de la DataFrame...
On ne garde que les données du centre...
On sépare par la Seine
Clusterisation...
Sauvegarde sur la carte...
Terminé !
         46068305 function calls (46035909 primitive calls) in 57.801 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
      4/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap_external>:777(exec_module)
       34    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap_external>:849(get_code)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:969(get_data)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.475    0.475   57.838   57.838 <string>:1(<module>)
      650    0.001    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <template>:1(<module>)
        1    0.000    0.000    0.000    0.000 <template>:14(macro)
        1    0.000    0.000    0.000    0.000 <template>:44(macro)
        2    0.000    0.000    0.000    0.000 <template>:5(root)
        1    0.000    0.000    0.000    0.000 <template>:60(macro)
        1    0.000    0.000    0.001    0.001 __init__.py:109(import_module)
       12    0.000    0.000    0.000    0.000 __init__.py:111(_maybe_match_name)
        2    0.000    0.000    0.000    0.000 __init__.py:1379(get_resource_filename)
        2    0.000    0.000    0.005    0.002 __init__.py:1385(get_resource_string)
        2    0.000    0.000    0.001    0.000 __init__.py:1388(has_resource)
       35    0.000    0.000    0.008    0.000 __init__.py:1417(resource_isdir)
       12    0.000    0.000    0.003    0.000 __init__.py:1423(resource_listdir)
       53    0.000    0.000    0.004    0.000 __init__.py:1470(_fn)
       53    0.000    0.000    0.002    0.000 __init__.py:1476(_validate_resource_path)
        2    0.000    0.000    0.000    0.000 __init__.py:1596(_has)
       35    0.000    0.000    0.006    0.000 __init__.py:1599(_isdir)
       12    0.000    0.000    0.002    0.000 __init__.py:1602(_listdir)
        2    0.000    0.000    0.004    0.002 __init__.py:1608(_get)
      967    0.005    0.000    0.029    0.000 __init__.py:183(dumps)
      795    0.000    0.000    0.001    0.000 __init__.py:21(wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
      161    0.002    0.000    0.084    0.001 __init__.py:359(wrapper)
   313458    0.431    0.000    0.431    0.000 __init__.py:514(cast)
      158    0.000    0.000    0.000    0.000 __init__.py:675(gen_batches)
      967    0.001    0.000    0.003    0.000 __init__.py:70(__new__)
      173    0.000    0.000    0.001    0.000 __init__.py:88(get_op_result_name)
5020/3867    0.004    0.000    0.031    0.000 _asarray.py:14(asarray)
        2    0.000    0.000    0.000    0.000 _asarray.py:221(require)
        2    0.000    0.000    0.000    0.000 _asarray.py:298(<setcomp>)
     2721    0.002    0.000    0.006    0.000 _asarray.py:86(asanyarray)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
       42    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
      132    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
      390    0.001    0.000    0.004    0.000 _collections_abc.py:657(get)
       19    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
     2607    0.003    0.000    0.004    0.000 _compat.py:19(<lambda>)
      652    0.000    0.000    0.000    0.000 _compat.py:8(<lambda>)
      969    0.001    0.000    0.002    0.000 _config.py:14(get_config)
        1    0.000    0.000   10.284   10.284 _decorators.py:158(wrapper)
        1    0.000    0.000    0.000    0.000 _decorators.py:206(_format_argument_list)
        1    0.014    0.014   10.284   10.284 _decorators.py:283(wrapper)
     1715    0.001    0.000    0.001    0.000 _dtype.py:24(_kind_name)
     1715    0.003    0.000    0.009    0.000 _dtype.py:307(_name_includes_bit_suffix)
     1715    0.008    0.000    0.021    0.000 _dtype.py:321(_name_get)
        3    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
      163    0.001    0.000    0.001    0.000 _internal.py:827(npy_ctypes_check)
        1    0.407    0.407    9.940    9.940 _json.py:1112(_parse_no_numpy)
        2    0.000    0.000    0.006    0.003 _json.py:1141(_process_converter)
        3    0.000    0.000    0.000    0.000 _json.py:1146(<lambda>)
        1    0.000    0.000    0.006    0.006 _json.py:1165(_try_convert_types)
        3    0.000    0.000    0.003    0.001 _json.py:1172(<lambda>)
        1    0.000    0.000    0.003    0.003 _json.py:1175(_try_convert_dates)
        3    0.000    0.000    0.000    0.000 _json.py:1185(is_ok)
        3    0.000    0.000    0.000    0.000 _json.py:1206(<lambda>)
        1    0.000    0.000   10.271   10.271 _json.py:347(read_json)
        1    0.000    0.000    0.291    0.291 _json.py:634(__init__)
        1    0.000    0.000    0.289    0.289 _json.py:682(_preprocess_data)
        1    0.000    0.000    0.002    0.002 _json.py:697(_get_data_from_filepath)
        1    0.000    0.000    9.979    9.979 _json.py:739(read)
        1    0.000    0.000    9.979    9.979 _json.py:759(_get_object_parser)
        1    0.000    0.000    0.000    0.000 _json.py:786(close)
        1    0.000    0.000    0.000    0.000 _json.py:830(__init__)
        1    0.000    0.000    9.979    9.979 _json.py:878(parse)
        1    0.000    0.000    0.033    0.033 _json.py:895(_convert_axes)
        5    0.000    0.000    0.036    0.007 _json.py:912(_try_convert_data)
        2    0.003    0.002    0.033    0.016 _json.py:985(_try_convert_to_date)
      387    0.002    0.000    0.013    0.000 _k_means_fast.pyx:102(__pyx_fuse_1_inertia_dense (wrapper))
      387    0.011    0.000    0.011    0.000 _k_means_fast.pyx:102(__pyx_fuse_1_inertia_dense)
      387    0.003    0.000    0.003    0.000 _k_means_fast.pyx:102(_inertia_dense)
      387    0.095    0.000    0.114    0.000 _k_means_lloyd.pyx:29(__pyx_fuse_1lloyd_iter_chunked_dense)
      387    0.002    0.000    0.002    0.000 _k_means_lloyd.pyx:29(lloyd_iter_chunked_dense)
        3    0.001    0.000    1.502    0.501 _kmeans.py:1054(fit_predict)
      223    0.425    0.002    0.690    0.003 _kmeans.py:1201(_mini_batch_step)
      214    0.002    0.000    0.003    0.000 _kmeans.py:1340(_mini_batch_convergence)
        3    0.000    0.000    0.000    0.000 _kmeans.py:150(_tolerance)
        4    0.000    0.000    0.000    0.000 _kmeans.py:1565(__init__)
        3    0.000    0.000    0.003    0.001 _kmeans.py:1599(_check_params)
        3    0.176    0.059    1.501    0.500 _kmeans.py:1637(fit)
        3    0.000    0.000    0.071    0.024 _kmeans.py:1783(_labels_inertia_minibatch)
        3    0.002    0.001    0.064    0.021 _kmeans.py:1810(<listcomp>)
        9    0.057    0.006    0.502    0.056 _kmeans.py:50(_kmeans_plusplus)
      387    0.017    0.000    0.187    0.000 _kmeans.py:544(_labels_inertia)
        4    0.000    0.000    0.000    0.000 _kmeans.py:765(__init__)
        3    0.000    0.000    0.003    0.001 _kmeans.py:783(_check_params)
