Ouverture de la DataFrame...    5.402 s
On ne garde que les données du centre...    0.965 s
On sépare par la Seine...    12.490 s
Clusterisation...    11.265 s
Sauvegarde sur la carte...    0.621 s
Terminé !
         15046718 function calls (15012641 primitive calls) in 30.981 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
      4/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:777(exec_module)
       34    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:849(get_code)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:969(get_data)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.259    0.259   31.003   31.003 <string>:1(<module>)
      683    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <template>:1(<module>)
        1    0.000    0.000    0.000    0.000 <template>:14(macro)
        1    0.000    0.000    0.000    0.000 <template>:44(macro)
        2    0.000    0.000    0.000    0.000 <template>:5(root)
        1    0.000    0.000    0.000    0.000 <template>:60(macro)
        1    0.000    0.000    0.001    0.001 __init__.py:109(import_module)
       16    0.000    0.000    0.000    0.000 __init__.py:111(_maybe_match_name)
        2    0.000    0.000    0.000    0.000 __init__.py:1379(get_resource_filename)
        2    0.000    0.000    0.002    0.001 __init__.py:1385(get_resource_string)
        2    0.000    0.000    0.000    0.000 __init__.py:1388(has_resource)
       35    0.000    0.000    0.004    0.000 __init__.py:1417(resource_isdir)
       12    0.000    0.000    0.002    0.000 __init__.py:1423(resource_listdir)
       53    0.000    0.000    0.002    0.000 __init__.py:1470(_fn)
       53    0.000    0.000    0.001    0.000 __init__.py:1476(_validate_resource_path)
        2    0.000    0.000    0.000    0.000 __init__.py:1596(_has)
       35    0.000    0.000    0.002    0.000 __init__.py:1599(_isdir)
       12    0.000    0.000    0.001    0.000 __init__.py:1602(_listdir)
        2    0.000    0.000    0.002    0.001 __init__.py:1608(_get)
     1015    0.003    0.000    0.018    0.000 __init__.py:183(dumps)
      835    0.000    0.000    0.001    0.000 __init__.py:21(wrapper)
        2    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
      169    0.001    0.000    0.087    0.001 __init__.py:359(wrapper)
   313458    0.308    0.000    0.308    0.000 __init__.py:514(cast)
      159    0.000    0.000    0.000    0.000 __init__.py:675(gen_batches)
     1015    0.001    0.000    0.001    0.000 __init__.py:70(__new__)
      185    0.000    0.000    0.001    0.000 __init__.py:88(get_op_result_name)
5343/4129    0.003    0.000    0.025    0.000 _asarray.py:14(asarray)
        2    0.000    0.000    0.000    0.000 _asarray.py:221(require)
        2    0.000    0.000    0.000    0.000 _asarray.py:298(<setcomp>)
     2847    0.002    0.000    0.005    0.000 _asarray.py:86(asanyarray)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
       32    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
       96    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
      451    0.001    0.000    0.005    0.000 _collections_abc.py:657(get)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
     2738    0.002    0.000    0.004    0.000 _compat.py:19(<lambda>)
      685    0.000    0.000    0.000    0.000 _compat.py:8(<lambda>)
     1020    0.001    0.000    0.001    0.000 _config.py:14(get_config)
        1    0.000    0.000    5.135    5.135 _decorators.py:158(wrapper)
        1    0.000    0.000    0.000    0.000 _decorators.py:206(_format_argument_list)
        1    0.007    0.007    5.135    5.135 _decorators.py:283(wrapper)
     1852    0.001    0.000    0.001    0.000 _dtype.py:24(_kind_name)
     1852    0.003    0.000    0.008    0.000 _dtype.py:307(_name_includes_bit_suffix)
     1852    0.007    0.000    0.017    0.000 _dtype.py:321(_name_get)
        3    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
      172    0.001    0.000    0.001    0.000 _internal.py:827(npy_ctypes_check)
        1    0.200    0.200    5.033    5.033 _json.py:1112(_parse_no_numpy)
        2    0.000    0.000    0.002    0.001 _json.py:1141(_process_converter)
        3    0.000    0.000    0.000    0.000 _json.py:1146(<lambda>)
        1    0.000    0.000    0.002    0.002 _json.py:1165(_try_convert_types)
        3    0.000    0.000    0.001    0.000 _json.py:1172(<lambda>)
        1    0.000    0.000    0.000    0.000 _json.py:1175(_try_convert_dates)
        3    0.000    0.000    0.000    0.000 _json.py:1185(is_ok)
        3    0.000    0.000    0.000    0.000 _json.py:1206(<lambda>)
        1    0.000    0.000    5.128    5.128 _json.py:347(read_json)
        1    0.000    0.000    0.080    0.080 _json.py:634(__init__)
        1    0.000    0.000    0.079    0.079 _json.py:682(_preprocess_data)
        1    0.000    0.000    0.001    0.001 _json.py:697(_get_data_from_filepath)
        1    0.000    0.000    5.048    5.048 _json.py:739(read)
        1    0.000    0.000    5.048    5.048 _json.py:759(_get_object_parser)
        1    0.000    0.000    0.000    0.000 _json.py:786(close)
        1    0.000    0.000    0.000    0.000 _json.py:830(__init__)
        1    0.000    0.000    5.048    5.048 _json.py:878(parse)
        1    0.000    0.000    0.013    0.013 _json.py:895(_convert_axes)
        5    0.000    0.000    0.014    0.003 _json.py:912(_try_convert_data)
        2    0.001    0.000    0.013    0.006 _json.py:985(_try_convert_to_date)
      447    0.002    0.000    0.011    0.000 _k_means_fast.pyx:102(__pyx_fuse_1_inertia_dense (wrapper))
      447    0.009    0.000    0.009    0.000 _k_means_fast.pyx:102(__pyx_fuse_1_inertia_dense)
      447    0.003    0.000    0.003    0.000 _k_means_fast.pyx:102(_inertia_dense)
      447    0.131    0.000    0.151    0.000 _k_means_lloyd.pyx:29(__pyx_fuse_1lloyd_iter_chunked_dense)
      447    0.003    0.000    0.003    0.000 _k_means_lloyd.pyx:29(lloyd_iter_chunked_dense)
        4    0.001    0.000    2.406    0.602 _kmeans.py:1054(fit_predict)
      280    1.163    0.004    1.739    0.006 _kmeans.py:1201(_mini_batch_step)
      268    0.003    0.000    0.003    0.000 _kmeans.py:1340(_mini_batch_convergence)
        4    0.000    0.000    0.000    0.000 _kmeans.py:150(_tolerance)
        4    0.000    0.000    0.000    0.000 _kmeans.py:1565(__init__)
        4    0.000    0.000    0.000    0.000 _kmeans.py:1599(_check_params)
        4    0.118    0.030    2.405    0.601 _kmeans.py:1637(fit)
        4    0.000    0.000    0.071    0.018 _kmeans.py:1783(_labels_inertia_minibatch)
        4    0.001    0.000    0.066    0.016 _kmeans.py:1810(<listcomp>)
       12    0.054    0.004    0.428    0.036 _kmeans.py:50(_kmeans_plusplus)
      447    0.016    0.000    0.220    0.000 _kmeans.py:544(_labels_inertia)
        4    0.000    0.000    0.000    0.000 _kmeans.py:765(__init__)
        4    0.000    0.000    0.000    0.000 _kmeans.py:783(_check_params)
        4    0.000    0.000    0.000    0.000 _kmeans.py:863(_check_mkl_vcomp)
       12    0.005    0.000    0.434    0.036 _kmeans.py:895(_init_centroids)
      492    0.003    0.000    0.023    0.000 _methods.py:106(_clip)
        1    0.000    0.000    0.000    0.000 _methods.py:37(_amax)
      268    0.000    0.000    0.003    0.000 _methods.py:41(_amin)
    19267    0.012    0.000    0.128    0.000 _methods.py:45(_sum)
     1096    0.001    0.000    0.008    0.000 _methods.py:53(_any)
     1489    0.001    0.000    0.007    0.000 _methods.py:56(_all)
      984    0.007    0.000    0.016    0.000 _methods.py:72(_clip_dep_is_scalar_nan)
      984    0.001    0.000    0.001    0.000 _methods.py:82(_clip_dep_is_byte_swapped)
      492    0.004    0.000    0.004    0.000 _methods.py:87(_clip_dep_invoke_with_casting)
        1    0.000    0.000    0.001    0.001 _optional.py:61(import_optional_dependency)
        2    0.000    0.000    0.000    0.000 _parser.py:1062(_could_be_tzname)
        2    0.000    0.000    0.000    0.000 _parser.py:1276(parse)
        2    0.000    0.000    0.000    0.000 _parser.py:192(__iter__)
