;geometry;cluster;centroids
64;{'type': 'Point', 'coordinates': [2.292372, 48.856792]};0.0;POINT (2.322916576523031 48.8675703640416)
65;{'type': 'Point', 'coordinates': [2.44375, 48.804107]};0.0;POINT (2.322916576523031 48.8675703640416)
66;{'type': 'Point', 'coordinates': [2.07594, 48.777299]};0.0;POINT (2.322916576523031 48.8675703640416)
67;{'type': 'Point', 'coordinates': [2.3898989999999998, 48.840277]};0.0;POINT (2.322916576523031 48.8675703640416)
68;{'type': 'Point', 'coordinates': [2.3456200000000003, 48.88734]};2.0;POINT (2.8888956 48.49346291428571)
69;{'type': 'Point', 'coordinates': [2.371781, 48.857025]};1.0;POINT (2.002250676190476 48.86037997142857)
70;{'type': 'Point', 'coordinates': [2.309378, 48.960223]};0.0;POINT (2.322916576523031 48.8675703640416)
71;{'type': 'Point', 'coordinates': [2.055762, 49.046133]};0.0;POINT (2.322916576523031 48.8675703640416)
72;{'type': 'Point', 'coordinates': [2.328827, 48.865684]};3.0;POINT (2.518279042780748 48.80550006951871)
73;{'type': 'Point', 'coordinates': [2.301584, 48.866762]};0.0;POINT (2.322916576523031 48.8675703640416)
74;{'type': 'Point', 'coordinates': [2.295079, 48.876144]};0.0;POINT (2.322916576523031 48.8675703640416)
76;{'type': 'Point', 'coordinates': [2.345037, 48.890785]};0.0;POINT (2.322916576523031 48.8675703640416)
77;{'type': 'Point', 'coordinates': [3.012641, 48.735494]};0.0;POINT (2.322916576523031 48.8675703640416)
78;{'type': 'Point', 'coordinates': [1.600079, 48.789005]};0.0;POINT (2.322916576523031 48.8675703640416)
79;{'type': 'Point', 'coordinates': [2.3507, 48.868153]};0.0;POINT (2.322916576523031 48.8675703640416)
80;{'type': 'Point', 'coordinates': [2.347579, 48.643479]};0.0;POINT (2.322916576523031 48.8675703640416)
81;{'type': 'Point', 'coordinates': [2.856354, 48.90136]};0.0;POINT (2.322916576523031 48.8675703640416)
82;{'type': 'Point', 'coordinates': [2.258811, 48.778014]};0.0;POINT (2.322916576523031 48.8675703640416)
83;{'type': 'Point', 'coordinates': [2.316397, 48.877959]};0.0;POINT (2.322916576523031 48.8675703640416)
84;{'type': 'Point', 'coordinates': [2.288637, 48.914065]};2.0;POINT (2.8888956 48.49346291428571)
85;{'type': 'Point', 'coordinates': [2.202824, 48.895004]};0.0;POINT (2.322916576523031 48.8675703640416)
86;{'type': 'Point', 'coordinates': [2.353682, 48.806977]};1.0;POINT (2.002250676190476 48.86037997142857)
87;{'type': 'Point', 'coordinates': [2.402212, 48.969381]};0.0;POINT (2.322916576523031 48.8675703640416)
88;{'type': 'Point', 'coordinates': [2.40434, 48.847252]};3.0;POINT (2.518279042780748 48.80550006951871)
89;{'type': 'Point', 'coordinates': [2.304267, 48.879957]};3.0;POINT (2.518279042780748 48.80550006951871)
90;{'type': 'Point', 'coordinates': [2.275627, 48.855864]};0.0;POINT (2.322916576523031 48.8675703640416)
91;{'type': 'Point', 'coordinates': [2.310039, 48.911022]};0.0;POINT (2.322916576523031 48.8675703640416)
92;{'type': 'Point', 'coordinates': [2.393086, 48.915076]};0.0;POINT (2.322916576523031 48.8675703640416)
93;{'type': 'Point', 'coordinates': [2.95711, 48.386529]};0.0;POINT (2.322916576523031 48.8675703640416)
94;{'type': 'Point', 'coordinates': [2.3898260000000002, 48.864882]};0.0;POINT (2.322916576523031 48.8675703640416)
95;{'type': 'Point', 'coordinates': [2.123026, 48.671587]};0.0;POINT (2.322916576523031 48.8675703640416)
96;{'type': 'Point', 'coordinates': [2.268831, 48.881472]};0.0;POINT (2.322916576523031 48.8675703640416)
97;{'type': 'Point', 'coordinates': [2.485253, 48.704742]};0.0;POINT (2.322916576523031 48.8675703640416)
98;{'type': 'Point', 'coordinates': [2.431307, 48.856668]};0.0;POINT (2.322916576523031 48.8675703640416)
99;{'type': 'Point', 'coordinates': [2.434919, 48.944541]};0.0;POINT (2.322916576523031 48.8675703640416)
100;{'type': 'Point', 'coordinates': [2.330926, 48.85666]};0.0;POINT (2.322916576523031 48.8675703640416)
101;{'type': 'Point', 'coordinates': [2.298054, 48.860286]};0.0;POINT (2.322916576523031 48.8675703640416)
102;{'type': 'Point', 'coordinates': [2.309717, 48.845922]};3.0;POINT (2.518279042780748 48.80550006951871)
103;{'type': 'Point', 'coordinates': [2.358694, 48.863927]};3.0;POINT (2.518279042780748 48.80550006951871)
104;{'type': 'Point', 'coordinates': [2.352805, 48.873774]};0.0;POINT (2.322916576523031 48.8675703640416)
105;{'type': 'Point', 'coordinates': [2.344416, 48.877959]};3.0;POINT (2.518279042780748 48.80550006951871)
106;{'type': 'Point', 'coordinates': [2.320823, 48.794052]};0.0;POINT (2.322916576523031 48.8675703640416)
107;{'type': 'Point', 'coordinates': [2.389351, 48.969233]};0.0;POINT (2.322916576523031 48.8675703640416)
108;{'type': 'Point', 'coordinates': [2.374946, 48.857132]};0.0;POINT (2.322916576523031 48.8675703640416)
109;{'type': 'Point', 'coordinates': [2.314027, 48.879902]};1.0;POINT (2.002250676190476 48.86037997142857)
110;{'type': 'Point', 'coordinates': [2.252774, 48.945415]};1.0;POINT (2.002250676190476 48.86037997142857)
111;{'type': 'Point', 'coordinates': [2.418369, 48.62805]};3.0;POINT (2.518279042780748 48.80550006951871)
112;{'type': 'Point', 'coordinates': [2.6279310000000002, 48.650844]};1.0;POINT (2.002250676190476 48.86037997142857)
113;{'type': 'Point', 'coordinates': [2.2815, 48.854457]};0.0;POINT (2.322916576523031 48.8675703640416)
114;{'type': 'Point', 'coordinates': [2.492324, 48.931868]};0.0;POINT (2.322916576523031 48.8675703640416)
115;{'type': 'Point', 'coordinates': [2.416442, 48.856557]};1.0;POINT (2.002250676190476 48.86037997142857)
116;{'type': 'Point', 'coordinates': [2.387027, 48.904565]};0.0;POINT (2.322916576523031 48.8675703640416)
117;{'type': 'Point', 'coordinates': [2.2845969999999998, 48.890318]};1.0;POINT (2.002250676190476 48.86037997142857)
118;{'type': 'Point', 'coordinates': [1.825613, 48.646664]};1.0;POINT (2.002250676190476 48.86037997142857)
119;{'type': 'Point', 'coordinates': [1.795828, 48.863882]};0.0;POINT (2.322916576523031 48.8675703640416)
120;{'type': 'Point', 'coordinates': [2.533776, 48.843687]};0.0;POINT (2.322916576523031 48.8675703640416)
121;{'type': 'Point', 'coordinates': [1.840503, 48.993538]};1.0;POINT (2.002250676190476 48.86037997142857)
122;{'type': 'Point', 'coordinates': [2.266171, 48.883295]};0.0;POINT (2.322916576523031 48.8675703640416)
124;{'type': 'Point', 'coordinates': [2.353841, 48.825801]};0.0;POINT (2.322916576523031 48.8675703640416)
125;{'type': 'Point', 'coordinates': [2.160675, 48.43352]};0.0;POINT (2.322916576523031 48.8675703640416)
126;{'type': 'Point', 'coordinates': [2.370106, 48.868079]};0.0;POINT (2.322916576523031 48.8675703640416)
127;{'type': 'Point', 'coordinates': [2.123926, 48.582357]};0.0;POINT (2.322916576523031 48.8675703640416)
128;{'type': 'Point', 'coordinates': [1.906171, 48.823281]};3.0;POINT (2.518279042780748 48.80550006951871)
129;{'type': 'Point', 'coordinates': [2.416373, 48.925819]};3.0;POINT (2.518279042780748 48.80550006951871)
130;{'type': 'Point', 'coordinates': [2.402652, 48.862945]};0.0;POINT (2.322916576523031 48.8675703640416)
131;{'type': 'Point', 'coordinates': [2.09165, 49.050063]};0.0;POINT (2.322916576523031 48.8675703640416)
132;{'type': 'Point', 'coordinates': [2.289106, 48.875304]};0.0;POINT (2.322916576523031 48.8675703640416)
133;{'type': 'Point', 'coordinates': [2.304745, 48.86917]};2.0;POINT (2.8888956 48.49346291428571)
134;{'type': 'Point', 'coordinates': [2.3807, 48.866555]};0.0;POINT (2.322916576523031 48.8675703640416)
135;{'type': 'Point', 'coordinates': [2.36754, 48.866743]};0.0;POINT (2.322916576523031 48.8675703640416)
136;{'type': 'Point', 'coordinates': [2.245594, 48.951906]};3.0;POINT (2.518279042780748 48.80550006951871)
137;{'type': 'Point', 'coordinates': [2.396665, 48.85735]};0.0;POINT (2.322916576523031 48.8675703640416)
138;{'type': 'Point', 'coordinates': [2.809304, 48.866122]};0.0;POINT (2.322916576523031 48.8675703640416)
139;{'type': 'Point', 'coordinates': [2.439715, 48.855808]};3.0;POINT (2.518279042780748 48.80550006951871)
140;{'type': 'Point', 'coordinates': [2.449148, 49.031494]};2.0;POINT (2.8888956 48.49346291428571)
141;{'type': 'Point', 'coordinates': [2.275649, 48.882473]};0.0;POINT (2.322916576523031 48.8675703640416)
142;{'type': 'Point', 'coordinates': [2.347178, 48.879076]};3.0;POINT (2.518279042780748 48.80550006951871)
143;{'type': 'Point', 'coordinates': [2.703762, 48.408276]};3.0;POINT (2.518279042780748 48.80550006951871)
144;{'type': 'Point', 'coordinates': [2.350507, 48.878766]};0.0;POINT (2.322916576523031 48.8675703640416)
145;{'type': 'Point', 'coordinates': [2.266472, 48.880143]};3.0;POINT (2.518279042780748 48.80550006951871)
146;{'type': 'Point', 'coordinates': [2.377702, 48.416805]};0.0;POINT (2.322916576523031 48.8675703640416)
147;{'type': 'Point', 'coordinates': [2.314439, 48.886515]};0.0;POINT (2.322916576523031 48.8675703640416)
148;{'type': 'Point', 'coordinates': [2.328729, 48.881997]};0.0;POINT (2.322916576523031 48.8675703640416)
149;{'type': 'Point', 'coordinates': [2.4104900000000002, 48.757683]};1.0;POINT (2.002250676190476 48.86037997142857)
150;{'type': 'Point', 'coordinates': [2.687534, 48.405888]};0.0;POINT (2.322916576523031 48.8675703640416)
151;{'type': 'Point', 'coordinates': [2.333301, 48.888694]};2.0;POINT (2.8888956 48.49346291428571)
152;{'type': 'Point', 'coordinates': [2.446418, 48.859252]};0.0;POINT (2.322916576523031 48.8675703640416)
153;{'type': 'Point', 'coordinates': [2.463701, 48.706769]};0.0;POINT (2.322916576523031 48.8675703640416)
154;{'type': 'Point', 'coordinates': [2.391358, 48.911197]};0.0;POINT (2.322916576523031 48.8675703640416)
155;{'type': 'Point', 'coordinates': [2.471553, 48.815304]};0.0;POINT (2.322916576523031 48.8675703640416)
156;{'type': 'Point', 'coordinates': [2.340963, 48.862794]};0.0;POINT (2.322916576523031 48.8675703640416)
157;{'type': 'Point', 'coordinates': [2.348396, 48.895668]};3.0;POINT (2.518279042780748 48.80550006951871)
158;{'type': 'Point', 'coordinates': [2.374032, 48.852288]};2.0;POINT (2.8888956 48.49346291428571)
159;{'type': 'Point', 'coordinates': [1.987146, 48.568907]};0.0;POINT (2.322916576523031 48.8675703640416)
160;{'type': 'Point', 'coordinates': [2.288865, 48.865643]};0.0;POINT (2.322916576523031 48.8675703640416)
161;{'type': 'Point', 'coordinates': [2.967526, 48.679579]};0.0;POINT (2.322916576523031 48.8675703640416)
162;{'type': 'Point', 'coordinates': [2.2472820000000002, 48.783495]};0.0;POINT (2.322916576523031 48.8675703640416)
163;{'type': 'Point', 'coordinates': [2.407861, 48.848527]};0.0;POINT (2.322916576523031 48.8675703640416)
164;{'type': 'Point', 'coordinates': [2.272372, 48.887862]};0.0;POINT (2.322916576523031 48.8675703640416)
165;{'type': 'Point', 'coordinates': [2.36487, 48.880047]};1.0;POINT (2.002250676190476 48.86037997142857)
166;{'type': 'Point', 'coordinates': [2.265489, 48.888668]};0.0;POINT (2.322916576523031 48.8675703640416)
167;{'type': 'Point', 'coordinates': [2.586098, 48.835986]};3.0;POINT (2.518279042780748 48.80550006951871)
168;{'type': 'Point', 'coordinates': [2.749444, 48.449323]};0.0;POINT (2.322916576523031 48.8675703640416)
169;{'type': 'Point', 'coordinates': [2.350826, 48.883629]};0.0;POINT (2.322916576523031 48.8675703640416)
170;{'type': 'Point', 'coordinates': [2.26526, 48.856926]};0.0;POINT (2.322916576523031 48.8675703640416)
171;{'type': 'Point', 'coordinates': [2.303931, 48.861227]};2.0;POINT (2.8888956 48.49346291428571)
173;{'type': 'Point', 'coordinates': [2.277524, 48.767156]};0.0;POINT (2.322916576523031 48.8675703640416)
174;{'type': 'Point', 'coordinates': [2.404175, 48.972831]};0.0;POINT (2.322916576523031 48.8675703640416)
175;{'type': 'Point', 'coordinates': [2.205256, 48.780491]};0.0;POINT (2.322916576523031 48.8675703640416)
176;{'type': 'Point', 'coordinates': [2.127509, 48.795268]};2.0;POINT (2.8888956 48.49346291428571)
177;{'type': 'Point', 'coordinates': [2.296051, 48.879192]};3.0;POINT (2.518279042780748 48.80550006951871)
178;{'type': 'Point', 'coordinates': [2.540376, 48.810652]};0.0;POINT (2.322916576523031 48.8675703640416)
179;{'type': 'Point', 'coordinates': [2.299146, 48.869691]};0.0;POINT (2.322916576523031 48.8675703640416)
180;{'type': 'Point', 'coordinates': [2.243511, 48.890813]};0.0;POINT (2.322916576523031 48.8675703640416)
181;{'type': 'Point', 'coordinates': [2.3162089999999997, 48.814943]};0.0;POINT (2.322916576523031 48.8675703640416)
182;{'type': 'Point', 'coordinates': [3.342066, 48.824552]};0.0;POINT (2.322916576523031 48.8675703640416)
183;{'type': 'Point', 'coordinates': [2.604089, 48.792248]};0.0;POINT (2.322916576523031 48.8675703640416)
184;{'type': 'Point', 'coordinates': [2.34729, 48.884585]};0.0;POINT (2.322916576523031 48.8675703640416)
185;{'type': 'Point', 'coordinates': [2.258771, 49.000168]};0.0;POINT (2.322916576523031 48.8675703640416)
186;{'type': 'Point', 'coordinates': [2.337152, 48.866077]};0.0;POINT (2.322916576523031 48.8675703640416)
187;{'type': 'Point', 'coordinates': [2.917018, 48.631248]};1.0;POINT (2.002250676190476 48.86037997142857)
188;{'type': 'Point', 'coordinates': [2.499428, 48.852857]};3.0;POINT (2.518279042780748 48.80550006951871)
189;{'type': 'Point', 'coordinates': [2.329616, 48.829276]};3.0;POINT (2.518279042780748 48.80550006951871)
191;{'type': 'Point', 'coordinates': [2.4037509999999997, 48.809122]};3.0;POINT (2.518279042780748 48.80550006951871)
192;{'type': 'Point', 'coordinates': [2.33307, 48.885346]};3.0;POINT (2.518279042780748 48.80550006951871)
193;{'type': 'Point', 'coordinates': [2.412705, 48.914355]};3.0;POINT (2.518279042780748 48.80550006951871)
194;{'type': 'Point', 'coordinates': [2.390913, 48.879725]};0.0;POINT (2.322916576523031 48.8675703640416)
195;{'type': 'Point', 'coordinates': [2.3513159999999997, 48.87872]};0.0;POINT (2.322916576523031 48.8675703640416)
196;{'type': 'Point', 'coordinates': [2.359435, 48.94807]};0.0;POINT (2.322916576523031 48.8675703640416)
198;{'type': 'Point', 'coordinates': [2.359035, 48.988667]};0.0;POINT (2.322916576523031 48.8675703640416)
199;{'type': 'Point', 'coordinates': [2.3745, 48.898345]};0.0;POINT (2.322916576523031 48.8675703640416)
200;{'type': 'Point', 'coordinates': [2.125377, 49.015591]};0.0;POINT (2.322916576523031 48.8675703640416)
201;{'type': 'Point', 'coordinates': [2.459242, 48.808092]};3.0;POINT (2.518279042780748 48.80550006951871)
202;{'type': 'Point', 'coordinates': [2.530359, 48.503322]};0.0;POINT (2.322916576523031 48.8675703640416)
203;{'type': 'Point', 'coordinates': [2.388941, 48.919061]};0.0;POINT (2.322916576523031 48.8675703640416)
205;{'type': 'Point', 'coordinates': [2.433072, 48.70006]};0.0;POINT (2.322916576523031 48.8675703640416)
206;{'type': 'Point', 'coordinates': [2.50129, 48.812551]};0.0;POINT (2.322916576523031 48.8675703640416)
207;{'type': 'Point', 'coordinates': [2.551751, 48.951045]};3.0;POINT (2.518279042780748 48.80550006951871)
